financial_year,state,fertilizer_type,sales_current,sales_lag_1,requirement_current,requirement_lag_1,availability_current,availability_lag_1,iffco_production_current,iffco_production_lag_1,iffco_production_available,potential_reporting_break,target_sales
2015-16,West Bengal,dap,3.32,2.55,4.19,3.75,3.51,2.63,,,False,0,2.89
2015-16,West Bengal,mop,2.22,2.36,3.5,2.4,2.43,2.88,,,False,0,2.59
2015-16,West Bengal,npks,9.38,8.7,9.59,8.5,10.02,9.21,,,False,0,9.42
2015-16,West Bengal,urea,14.38,13.12,12.65,13.2,14.87,13.13,,,False,0,12.73
2016-17,Andaman & Nicobar,dap,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.0
2016-17,Andaman & Nicobar,mop,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2016-17,Andaman & Nicobar,npks,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.0
2016-17,Andaman & Nicobar,urea,0.01,0.0,0.01,0.01,0.01,0.0,,,False,0,0.01
2016-17,Andhra Pradesh,dap,3.73,3.77,4.67,4.7,3.92,3.89,,,False,0,3.26
2016-17,Andhra Pradesh,mop,2.54,2.12,3.06,3.5,2.59,2.23,,,False,0,2.89
2016-17,Andhra Pradesh,npks,11.49,12.08,11.73,13.5,12.02,12.49,,,False,0,10.62
2016-17,Andhra Pradesh,urea,14.38,15.47,15.03,17.35,15.58,16.21,,,False,0,14.09
2016-17,Arunachal Pradesh,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Arunachal Pradesh,mop,0.0,0.0,0.0,0.01,0.0,0.0,,,False,0,0.0
2016-17,Arunachal Pradesh,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Arunachal Pradesh,urea,0.0,0.0,0.0,0.02,0.0,0.0,,,False,0,0.0
2016-17,Assam,dap,0.54,0.48,0.43,0.5,0.57,0.58,,,False,0,0.57
2016-17,Assam,mop,0.74,0.7,1.05,1.3,0.74,0.72,,,False,0,0.81
